iter	Logloss
0	0.3696422216
1	0.2133724643
2	0.1153355019
3	0.06213283904
4	0.03456508962
5	0.02630744614
6	0.01565804381
7	0.01076950799
8	0.007471621143
9	0.005903779927
10	0.004738495802
11	0.004021397633
12	0.003664378625
13	0.003380791132
14	0.003021670343
15	0.002818118525
16	0.002705748758
17	0.002543444236
18	0.002467275556
19	0.002387000567
20	0.002327549722
21	0.002276159921
22	0.002215138099
23	0.002173568483
24	0.002146462533
25	0.002112559169
26	0.002060928319
27	0.002045500436
28	0.001998123376
29	0.001977810728
30	0.001944708047
31	0.001927888677
32	0.00190476284
33	0.00188977061
34	0.001857062347
35	0.001838809007
36	0.001821479442
37	0.001809204182
38	0.00178308764
39	0.001772982208
40	0.001759917356
41	0.001746840234
42	0.0017361093
43	0.001724561667
44	0.001714093701
45	0.001686932755
46	0.001674711133
47	0.001666678882
48	0.001657178048
49	0.001643581431
50	0.001626872451
51	0.001610197824
52	0.001601301365
53	0.001594753834
54	0.001585487783
55	0.001575843851
56	0.00156197082
57	0.001550660686
58	0.001541330605
59	0.001524986994
60	0.001520825024
61	0.001512268287
62	0.001501981555
63	0.00148854145
64	0.001478844539
65	0.00145912019
66	0.001449805
67	0.001441732075
68	0.001435071301
69	0.001422614471
70	0.00141227662
71	0.00140496055
72	0.001396180459
73	0.001391463343
74	0.001382273293
75	0.001370175739
76	0.001361712369
77	0.001354596875
78	0.001341620637
79	0.001339703679
80	0.001333619082
81	0.001328705943
82	0.001323384874
83	0.001316362708
84	0.001310343985
85	0.001296081528
86	0.001296073601
87	0.001289707725
88	0.001280650591
89	0.001269176667
90	0.001265320174
91	0.001253897301
92	0.001239031409
93	0.001229101151
94	0.001229093611
95	0.00122466194
96	0.001216520821
97	0.00120633705
98	0.001196085764
99	0.001190226168
100	0.001179229521
101	0.001175801039
102	0.001165330573
103	0.001159661809
104	0.001151613294
105	0.001144936086
106	0.001138747674
107	0.001133602108
108	0.001126393106
109	0.001126390364
110	0.001121425601
111	0.001121416735
112	0.001121404605
113	0.001112634812
114	0.001107058102
115	0.001107053438
116	0.001096399909
117	0.001086625792
118	0.001086614407
119	0.001086611293
120	0.001086611293
121	0.0010866042
122	0.00108645194
123	0.001086445741
124	0.001079064165
125	0.001079053732
126	0.001071181943
127	0.001071178076
128	0.001071174194
129	0.00107117511
130	0.001071167801
131	0.001071163301
132	0.001071161275
133	0.001071155277
134	0.001071155277
135	0.001071147238
136	0.001071147104
137	0.001071141806
138	0.001071147193
139	0.001071134944
140	0.001071131569
141	0.001071126361
142	0.001071118948
143	0.001071118613
144	0.001071115183
145	0.001071115302
146	0.001071116032
147	0.001071111674
148	0.001071108872
149	0.001071110251
150	0.001071100028
151	0.001071104573
152	0.001071098464
153	0.001071105735
154	0.001071095171
155	0.001071094515
156	0.001071093166
157	0.001071086826
158	0.00107108854
159	0.001071078049
160	0.001071077401
161	0.001071077662
162	0.001071075948
163	0.001071076306
164	0.001071067745
165	0.001071069891
166	0.001071064832
167	0.001071064757
168	0.001071066531
169	0.001071065994
170	0.001071061256
171	0.001071066262
172	0.00107105908
173	0.001071053872
174	0.001071056323
175	0.001071056323
176	0.001071043627
177	0.001071032943
178	0.001071032019
179	0.001071028778
180	0.001071025955
181	0.001071029114
182	0.001071022736
183	0.001071019095
184	0.001071013649
185	0.001071014275
186	0.00107101277
187	0.001071003404
188	0.001070998405
189	0.001071001519
190	0.001070995134
191	0.001070992385
192	0.001070990396
193	0.001070987333
194	0.001070986052
195	0.001070986164
196	0.001070984502
197	0.001070979913
198	0.001070977767
199	0.001070979153
